Index,Value
460,2107.4853515625
461,2107.4853515625
462,2107.4853515625
463,2107.4853515625
464,2111.484375
465,2107.4853515625
466,2107.4853515625
467,2107.4853515625
468,2107.4853515625
469,2111.484375
470,2107.4853515625
471,2111.484375
472,2107.4853515625
473,2107.4853515625
474,2111.484375
475,2103.486328125
476,2107.4853515625
477,2107.4853515625
478,2107.4853515625
479,2107.4853515625
480,2107.4853515625
481,2107.4853515625
482,2107.4853515625
483,2111.484375
484,2107.4853515625
485,2107.4853515625
486,2111.484375
487,2115.4833984375
488,2107.4853515625
489,2107.4853515625
490,2103.486328125
491,2107.4853515625
492,2107.4853515625
493,2107.4853515625
494,2111.484375
495,2107.4853515625
496,2111.484375
497,2111.484375
498,2103.486328125
499,2107.4853515625
500,2107.4853515625
501,2107.4853515625
502,2107.4853515625
503,2107.4853515625
504,2107.4853515625
505,2111.484375
506,2111.484375
507,2115.4833984375
508,2107.4853515625
509,2107.4853515625
510,2107.4853515625
511,2111.484375
363,2107.4853515625
364,2103.486328125
365,2107.4853515625
366,2107.4853515625
367,2111.484375
368,2103.486328125
369,2107.4853515625
370,2107.4853515625
371,2111.484375
372,2107.4853515625
373,2107.4853515625
374,2107.4853515625
375,2111.484375
376,2107.4853515625
377,2111.484375
378,2107.4853515625
379,2107.4853515625
380,2111.484375
381,2107.4853515625
382,2107.4853515625
383,2107.4853515625
384,2107.4853515625
385,2107.4853515625
386,2111.484375
387,2107.4853515625
388,2103.486328125
389,2111.484375
390,2107.4853515625
391,2107.4853515625
392,2111.484375
393,2107.4853515625
394,2107.4853515625
395,2115.4833984375
396,2111.484375
397,2107.4853515625
398,2111.484375
399,2107.4853515625
400,2107.4853515625
401,2107.4853515625
402,2111.484375
403,2107.4853515625
404,2115.4833984375
405,2107.4853515625
406,2107.4853515625
407,2107.4853515625
408,2111.484375
409,2111.484375
410,2107.4853515625
411,2111.484375
412,2107.4853515625
413,2111.484375
414,2111.484375
415,2107.4853515625
416,2107.4853515625
417,2107.4853515625
418,2107.4853515625
419,2111.484375
420,2103.486328125
421,2107.4853515625
422,2103.486328125
423,2107.4853515625
424,2103.486328125
425,2107.4853515625
178,2111.484375
179,2107.4853515625
180,2111.484375
181,2111.484375
182,2103.486328125
183,2111.484375
184,2107.4853515625
185,2107.4853515625
186,2111.484375
187,2107.4853515625
188,2111.484375
189,2107.4853515625
190,2107.4853515625
191,2107.4853515625
192,2111.484375
193,2111.484375
194,2107.4853515625
195,2111.484375
196,2111.484375
197,2107.4853515625
198,2103.486328125
199,2111.484375
200,2107.4853515625
201,2107.4853515625
202,2107.4853515625
203,2115.4833984375
204,2111.484375
205,2111.484375
206,2111.484375
207,2107.4853515625
208,2107.4853515625
209,2111.484375
210,2107.4853515625
211,2107.4853515625
212,2111.484375
213,2107.4853515625
214,2107.4853515625
215,2107.4853515625
216,2107.4853515625
217,2107.4853515625
218,2111.484375
219,2111.484375
220,2107.4853515625
221,2107.4853515625
222,2111.484375
223,2107.4853515625
224,2103.486328125
225,2107.4853515625
226,2103.486328125
227,2107.4853515625
228,2107.4853515625
229,2107.4853515625
230,2107.4853515625
231,2107.4853515625
232,2107.4853515625
233,2107.4853515625
234,2107.4853515625
235,2107.4853515625
236,2107.4853515625
237,2111.484375
238,2107.4853515625
239,2103.486328125
0,2111.484375
1,2111.484375
2,2107.4853515625
3,2107.4853515625
4,2111.484375
5,2107.4853515625
6,2111.484375
7,2107.4853515625
8,2107.4853515625
9,2107.4853515625
10,2111.484375
11,2107.4853515625
12,2107.4853515625
13,2107.4853515625
14,2107.4853515625
15,2107.4853515625
16,2111.484375
17,2111.484375
18,2107.4853515625
19,2107.4853515625
20,2107.4853515625
21,2107.4853515625
22,2107.4853515625
23,2111.484375
24,2107.4853515625
25,2111.484375
26,2107.4853515625
27,2107.4853515625
28,2111.484375
29,2107.4853515625
30,2107.4853515625
31,2107.4853515625
32,2111.484375
33,2107.4853515625
34,2107.4853515625
35,2107.4853515625
36,2107.4853515625
37,2107.4853515625
38,2107.4853515625
39,2107.4853515625
40,2107.4853515625
