Index,Value
0,2091
1,2094
2,2092
3,2095
4,2090
5,2096
6,2097
7,2097
8,2101
9,2073
10,2101
11,2100
12,2102
13,2102
14,2093
15,2103
16,2101
17,2102
18,2094
19,2091
20,2108
21,2102
22,2092
23,2088
24,2097
25,2093
26,2085
27,2095
28,2097
29,2091
30,2097
31,2093
32,2109
33,2096
34,2092
35,2098
36,2085
37,2096
38,2098
39,2097
40,2090
41,2094
42,2097
43,2091
44,2102
45,2091
46,2086
47,2100
48,2102
49,2096
50,2106
51,2092
52,2100
53,2091
54,2093
55,2090
56,2095
57,2084
58,2092
59,2103
60,2096
61,2093
62,2097
63,2093
64,2098
65,2096
66,2097
67,2103
68,2101
69,2095
70,2097
71,2094
72,2101
73,2086
74,2092
75,2094
76,2096
77,2107
78,2102
79,2109
80,2094
81,2096
82,2096
83,2092
84,2086
85,2101
86,2089
87,2098
88,2092
89,2098
90,2089
91,2092
92,2085
93,2093
94,2101
95,2091
96,2098
97,2088
98,2090
99,2081
100,2093
101,2096
102,2110
103,2097
104,2088
105,2092
106,2096
107,2095
108,2090
109,2102
110,2101
111,2095
112,2096
113,2094
114,2098
115,2099
116,2094
117,2094
118,2096
119,2093
120,2103
121,2099
122,2084
123,2094
124,2104
125,2093
126,2091
127,2092
128,2096
129,2096
130,2098
131,2099
132,2099
133,2094
134,2093
135,2088
136,2101
137,2100
138,2081
139,2103
140,2094
141,2095
142,2092
143,2093
144,2104
145,2094
146,2084
147,2096
148,2094
149,2099
150,2090
151,2097
152,2088
153,2082
154,2089
155,2106
156,2093
157,2099
158,2103
159,2101
160,2092
161,2097
162,2096
163,2102
164,2097
165,2080
166,2099
167,2081
168,2094
169,2096
170,2102
171,2090
172,2094
173,2096
174,2095
175,2085
176,2091
177,2083
178,2112
179,2090
180,2099
181,2089
182,2089
183,2099
184,2093
185,2100
186,2097
187,2090
188,2103
189,2095
190,2102
191,2092
192,2104
193,2099
194,2097
195,2102
196,2095
197,2090
198,2092
199,2104
200,2103
201,2096
202,2099
203,2089
204,2104
205,2086
206,2091
207,2089
208,2092
209,2100
210,2099
211,2089
212,2104
213,2094
214,2094
215,2096
216,2096
217,2109
218,2098
219,2093
220,2093
221,2095
222,2099
223,2104
224,2099
225,2088
226,2103
227,2099
228,2082
229,2095
230,2090
231,2088
232,2101
233,2093
234,2102
235,2092
236,2097
237,2097
238,2099
239,2096
240,2089
241,2096
242,2102
243,2102
244,2096
245,2094
246,2097
247,2096
248,2092
249,2080
250,2079
251,2095
252,2097
253,2090
254,2088
255,2097
256,2094
257,2082
258,2088
259,2079
260,2087
261,2094
262,2092
263,2101
264,2108
265,2097
266,2100
267,2092
268,2091
269,2095
270,2093
271,2101
272,2084
273,2097
274,2094
275,2092
276,2098
277,2087
278,2101
279,2100
280,2090
281,2099
282,2108
283,2094
284,2089
285,2095
286,2098
287,2089
288,2097
289,2105
290,2076
291,2102
292,2103
293,2096
294,2100
295,2088
296,2093
297,2099
298,2082
299,2094
300,2098
301,2096
302,2095
303,2093
304,2090
305,2101
306,2091
307,2088
308,2088
309,2095
310,2090
311,2095
312,2106
313,2090
314,2098
315,2092
316,2097
317,2096
318,2089
319,2087
320,2078
321,2094
322,2085
323,2092
324,2096
325,2095
326,2093
327,2095
328,2090
329,2099
330,2094
331,2096
332,2091
333,2089
334,2095
335,2099
336,2083
337,2094
338,2096
339,2091
340,2103
341,2100
342,2096
343,2102
344,2101
345,2096
346,2095
347,2091
348,2104
349,2090
350,2096
351,2099
352,2089
353,2096
354,2099
355,2095
356,2098
357,2096
358,2103
359,2092
360,2101
361,2098
362,2082
363,2102
364,2098
365,2094
366,2087
367,2096
368,2091
369,2090
370,2089
371,2089
372,2095
373,2097
374,2099
375,2106
376,2100
377,2088
378,2091
379,2096
380,2093
381,2109
382,2092
383,2094
384,2101
385,2095
386,2099
387,2110
388,2102
389,2091
390,2098
391,2089
392,2094
393,2098
394,2089
395,2090
396,2091
397,2101
398,2102
399,2106
400,2092
401,2112
402,2095
403,2095
404,2093
405,2098
406,2103
407,2103
408,2091
409,2096
410,2091
411,2098
412,2091
413,2101
414,2094
415,2092
416,2102
417,2104
418,2097
419,2099
420,2102
421,2097
422,2099
423,2108
424,2099
425,2094
426,2097
427,2083
428,2098
429,2088
430,2094
431,2078
432,2090
433,2104
434,2103
435,2092
436,2091
437,2086
438,2093
439,2095
440,2090
441,2091
442,2107
443,2097
444,2094
445,2095
446,2092
447,2096
448,2087
449,2087
450,2099
451,2094
452,2105
453,2088
454,2088
455,2096
456,2095
457,2092
458,2099
459,2094
460,2110
461,2106
462,2090
463,2088
464,2093
465,2094
466,2088
467,2095
468,2093
469,2096
470,2098
471,2095
472,2096
473,2093
474,2099
475,2092
476,2103
477,2090
478,2076
479,2102
480,2087
481,2098
482,2090
483,2099
484,2093
485,2099
486,2096
487,2095
488,2092
489,2089
490,2105
491,2101
492,2089
493,2096
494,2096
495,2101
496,2092
497,2099
498,2087
499,2096
500,2090
501,2073
502,2089
503,2104
504,2100
505,2091
506,2092
507,2097
508,2106
509,2109
510,2101
511,2098
