Index,Value
0,2113
1,2119
2,2105
3,2110
4,2112
5,2114
6,2114
7,2114
8,2109
9,2118
10,2115
11,2121
12,2104
13,2116
14,2106
15,2110
16,2112
17,2114
18,2113
19,2107
20,2117
21,2114
22,2110
23,2123
24,2109
25,2124
26,2120
27,2106
28,2122
29,2113
30,2118
31,2104
32,2118
33,2113
34,2112
35,2109
36,2118
37,2119
38,2112
39,2110
40,2117
41,2113
42,2109
43,2114
44,2111
45,2112
46,2108
47,2106
48,2107
49,2120
50,2114
51,2112
52,2113
53,2109
54,2111
55,2099
56,2112
57,2124
58,2112
59,2117
60,2109
61,2113
62,2114
63,2113
64,2113
65,2119
66,2110
67,2114
68,2116
69,2104
70,2106
71,2120
72,2110
73,2110
74,2116
75,2116
76,2112
77,2107
78,2117
79,2113
80,2112
81,2114
82,2110
83,2115
84,2114
85,2118
86,2108
87,2116
88,2108
89,2102
90,2110
91,2109
92,2107
93,2113
94,2108
95,2106
96,2107
97,2110
98,2115
99,2107
100,2108
101,2101
102,2112
103,2108
104,2112
105,2109
106,2107
107,2111
108,2105
109,2112
110,2112
111,2116
112,2114
113,2104
114,2120
115,2109
116,2120
117,2105
118,2127
119,2117
120,2113
121,2112
122,2112
123,2115
124,2106
125,2110
126,2113
127,2111
128,2116
129,2108
130,2111
131,2111
132,2107
133,2111
134,2120
135,2112
136,2113
137,2114
138,2107
139,2113
140,2112
141,2126
142,2107
143,2104
144,2115
145,2112
146,2113
147,2113
148,2115
149,2119
150,2114
151,2124
152,2109
153,2107
154,2113
155,2117
156,2119
157,2100
158,2112
159,2115
160,2112
161,2115
162,2107
163,2110
164,2123
165,2114
166,2112
167,2104
168,2112
169,2108
170,2118
171,2112
172,2121
173,2112
174,2109
175,2103
176,2113
177,2112
178,2116
179,2109
180,2115
181,2107
182,2106
183,2106
184,2113
185,2109
186,2103
187,2122
188,2113
189,2114
190,2112
191,2116
192,2120
193,2120
194,2100
195,2120
196,2120
197,2118
198,2109
199,2100
200,2114
201,2112
202,2115
203,2120
204,2112
205,2112
206,2115
207,2113
208,2117
209,2113
210,2113
211,2115
212,2112
213,2117
214,2117
215,2116
216,2105
217,2116
218,2119
219,2116
220,2114
221,2114
222,2113
223,2105
224,2110
225,2101
226,2120
227,2117
228,2118
229,2115
230,2125
231,2121
232,2116
233,2114
234,2115
235,2107
236,2115
237,2107
238,2116
239,2117
240,2116
241,2107
242,2112
243,2114
244,2116
245,2117
246,2110
247,2111
248,2113
249,2118
250,2113
251,2108
252,2108
253,2116
254,2114
255,2115
256,2114
257,2111
258,2111
259,2116
260,2119
261,2112
262,2117
263,2111
264,2118
265,2109
266,2110
267,2114
268,2114
269,2115
270,2108
271,2117
272,2124
273,2116
274,2113
275,2104
276,2112
277,2108
278,2115
279,2111
280,2116
281,2110
282,2112
283,2109
284,2113
285,2118
286,2111
287,2106
288,2125
289,2105
290,2113
291,2106
292,2113
293,2105
294,2107
295,2123
296,2093
297,2110
298,2114
299,2109
300,2112
301,2109
302,2112
303,2115
304,2107
305,2106
306,2109
307,2108
308,2115
309,2113
310,2110
311,2109
312,2117
313,2116
314,2109
315,2103
316,2120
317,2110
318,2114
319,2111
320,2113
321,2109
322,2110
323,2114
324,2116
325,2116
326,2108
327,2117
328,2116
329,2115
330,2112
331,2108
332,2111
333,2116
334,2122
335,2110
336,2116
337,2112
338,2112
339,2108
340,2112
341,2116
342,2121
343,2106
344,2109
345,2118
346,2117
347,2115
348,2117
349,2113
350,2112
351,2104
352,2111
353,2114
354,2112
355,2112
356,2112
357,2112
358,2115
359,2115
360,2112
361,2114
362,2111
363,2114
364,2122
365,2117
366,2113
367,2118
368,2112
369,2115
370,2106
371,2112
372,2120
373,2109
374,2112
375,2105
376,2109
377,2112
378,2119
379,2112
380,2112
381,2118
382,2118
383,2113
384,2112
385,2120
386,2114
387,2114
388,2106
389,2122
390,2115
391,2114
392,2118
393,2114
394,2112
395,2112
396,2107
397,2101
398,2116
399,2116
400,2116
401,2115
402,2115
403,2121
404,2108
405,2112
406,2110
407,2118
408,2120
409,2106
410,2115
411,2108
412,2113
413,2109
414,2112
415,2108
416,2111
417,2119
418,2108
419,2117
420,2112
421,2106
422,2100
423,2112
424,2116
425,2107
426,2109
427,2110
428,2113
429,2112
430,2106
431,2117
432,2114
433,2114
434,2113
435,2109
436,2111
437,2108
438,2130
439,2112
440,2109
441,2114
442,2110
443,2110
444,2110
445,2109
446,2113
447,2112
448,2115
449,2116
450,2112
451,2108
452,2096
453,2112
454,2115
455,2106
456,2114
457,2109
458,2108
459,2112
460,2115
461,2113
462,2108
463,2118
464,2108
465,2108
466,2113
467,2110
468,2105
469,2118
470,2111
471,2108
472,2108
473,2112
474,2120
475,2107
476,2109
477,2126
478,2105
479,2114
480,2116
481,2112
482,2108
483,2112
484,2105
485,2109
486,2105
487,2108
488,2113
489,2113
490,2106
491,2109
492,2111
493,2116
494,2114
495,2120
496,2109
497,2112
498,2113
499,2109
500,2113
501,2111
502,2105
503,2115
504,2112
505,2113
506,2109
507,2111
508,2110
509,2114
510,2134
511,2112
