sample_index,key_index,key_number,time_ms_est,adc_raw,adc_filtered
0,1,2,0.000,2096,2103
1,1,2,0.333,2109,2104
2,1,2,0.667,2102,2103
3,1,2,1.000,2097,2103
4,1,2,1.333,2105,2103
5,1,2,1.667,2106,2103
6,1,2,2.000,2113,2104
7,1,2,2.333,2105,2104
8,1,2,2.667,2110,2104
9,1,2,3.000,2110,2104
10,1,2,3.333,2111,2104
11,1,2,3.667,2107,2104
12,1,2,4.000,2094,2104
13,1,2,4.333,2108,2104
14,1,2,4.667,2107,2104
15,1,2,5.000,2112,2104
16,1,2,5.334,2112,2105
17,1,2,5.667,2109,2105
18,1,2,6.000,2117,2105
19,1,2,6.334,2093,2105
20,1,2,6.667,2105,2105
21,1,2,7.000,2098,2104
22,1,2,7.334,2112,2105
23,1,2,7.667,2110,2105
24,1,2,8.000,2103,2105
25,1,2,8.334,2098,2105
26,1,2,8.667,2103,2104
27,1,2,9.000,2109,2105
28,1,2,9.334,2109,2105
29,1,2,9.667,2098,2104
30,1,2,10.000,2112,2105
31,1,2,10.334,2107,2105
32,1,2,10.667,2107,2105
33,1,2,11.000,2105,2105
34,1,2,11.334,2122,2105
35,1,2,11.667,2102,2105
36,1,2,12.000,2103,2105
37,1,2,12.334,2105,2105
38,1,2,12.667,2104,2105
39,1,2,13.000,2108,2105
40,1,2,13.334,2112,2105
41,1,2,13.667,2113,2106
42,1,2,14.000,2104,2105
43,1,2,14.334,2101,2105
44,1,2,14.667,2111,2106
45,1,2,15.001,2111,2106
46,1,2,15.334,2106,2106
47,1,2,15.667,2100,2105
48,1,2,16.001,2109,2106
49,1,2,16.334,2105,2106
50,1,2,16.667,2108,2106
51,1,2,17.001,2105,2106
52,1,2,17.334,2106,2106
53,1,2,17.667,2110,2106
54,1,2,18.001,2100,2105
55,1,2,18.334,2102,2105
56,1,2,18.667,2106,2105
57,1,2,19.001,2098,2105
58,1,2,19.334,2103,2105
59,1,2,19.667,2112,2105
60,1,2,20.001,2103,2105
61,1,2,20.334,2100,2105
62,1,2,20.667,2108,2105
