Index,Value
0,2088
1,2092
2,2103
3,2091
4,2094
5,2086
6,2082
7,2087
8,2086
9,2064
10,2071
11,2101
12,2085
13,2079
14,2102
15,2094
16,2084
17,2091
18,2092
19,2093
20,2091
21,2087
22,2105
23,2069
24,2097
25,2110
26,2089
27,2068
28,2093
29,2102
30,2083
31,2090
32,2088
33,2092
34,2077
35,2089
36,2088
37,2083
38,2091
39,2084
40,2087
41,2078
42,2100
43,2097
44,2110
45,2100
46,2085
47,2095
48,2087
49,2086
50,2069
51,2087
52,2082
53,2110
54,2095
55,2087
56,2093
57,2077
58,2099
59,2095
60,2069
61,2092
62,2073
63,2090
64,2093
65,2092
66,2084
67,2100
68,2079
69,2091
70,2076
71,2090
72,2080
73,2098
74,2082
75,2098
76,2085
77,2081
78,2090
79,2084
80,2087
81,2091
82,2093
83,2083
84,2090
85,2079
86,2083
87,2081
88,2084
89,2081
90,2093
91,2091
92,2095
93,2090
94,2079
95,2097
96,2115
97,2105
98,2116
99,2087
100,2085
101,2093
102,2085
103,2093
104,2093
105,2093
106,2090
107,2098
108,2109
109,2100
110,2110
111,2092
112,2084
113,2092
114,2082
115,2089
116,2114
117,2077
118,2094
119,2101
120,2081
121,2104
122,2077
123,2090
124,2087
125,2097
126,2094
127,2098
128,2084
129,2092
130,2097
131,2093
132,2097
133,2089
134,2092
135,2092
136,2085
137,2098
138,2091
139,2098
140,2084
141,2098
142,2090
143,2079
144,2087
145,2072
146,2089
147,2100
148,2078
149,2096
150,2088
151,2085
152,2105
153,2099
154,2097
155,2097
156,2080
157,2087
158,2106
159,2090
160,2089
161,2089
162,2103
163,2084
164,2096
165,2093
166,2084
167,2089
168,2082
169,2102
170,2090
171,2100
172,2091
173,2089
174,2090
175,2093
176,2073
177,2102
178,2085
179,2075
180,2087
181,2101
182,2095
183,2103
184,2101
185,2084
186,2111
187,2092
188,2091
189,2089
190,2098
191,2088
192,2080
193,2092
194,2087
195,2098
196,2086
197,2097
198,2087
199,2090
200,2087
201,2097
202,2096
203,2083
204,2097
205,2068
206,2080
207,2091
208,2090
209,2100
210,2091
211,2098
212,2088
213,2111
214,2096
215,2081
216,2080
217,2089
218,2080
219,2086
220,2114
221,2089
222,2092
223,2096
224,2075
225,2086
226,2068
227,2089
228,2104
229,2081
230,2101
231,2081
232,2080
233,2088
234,2092
235,2090
236,2101
237,2107
238,2092
239,2084
240,2081
241,2093
242,2096
243,2084
244,2090
245,2082
246,2078
247,2091
248,2083
249,2093
250,2083
251,2094
252,2099
253,2085
254,2093
255,2084
256,2105
257,2086
258,2096
259,2085
260,2089
261,2087
262,2091
263,2103
264,2101
265,2083
266,2085
267,2093
268,2089
269,2096
270,2085
271,2083
272,2086
273,2099
274,2097
275,2097
276,2097
277,2088
278,2113
279,2080
280,2105
281,2093
282,2103
283,2086
284,2076
285,2107
286,2100
287,2098
288,2088
289,2091
290,2081
291,2087
292,2095
293,2103
294,2109
295,2094
296,2099
297,2090
298,2097
299,2079
300,2085
301,2115
302,2073
303,2096
304,2083
305,2094
306,2085
307,2098
308,2100
309,2095
310,2095
311,2103
312,2072
313,2082
314,2102
315,2097
316,2091
317,2074
318,2084
319,2097
320,2084
321,2098
322,2093
323,2098
324,2092
325,2087
326,2099
327,2076
328,2083
329,2077
330,2086
331,2083
332,2090
333,2084
334,2092
335,2085
336,2075
337,2102
338,2086
339,2102
340,2097
341,2099
342,2094
343,2112
344,2115
345,2086
346,2076
347,2100
348,2076
349,2095
350,2080
351,2096
352,2077
353,2095
354,2087
355,2092
356,2068
357,2087
358,2089
359,2080
360,2104
361,2088
362,2081
363,2102
364,2086
365,2092
366,2071
367,2095
368,2093
369,2103
370,2096
371,2084
372,2095
373,2085
374,2086
375,2098
376,2093
377,2080
378,2099
379,2094
380,2087
381,2087
382,2076
383,2075
384,2080
385,2078
386,2089
387,2080
388,2085
389,2091
390,2090
391,2077
392,2089
393,2083
394,2090
395,2106
396,2086
397,2076
398,2087
399,2088
400,2096
401,2094
402,2098
403,2096
404,2098
405,2105
406,2100
407,2090
408,2090
409,2096
410,2084
411,2092
412,2091
413,2096
414,2086
415,2084
416,2087
417,2102
418,2098
419,2081
420,2073
421,2085
422,2095
423,2108
424,2099
425,2089
426,2084
427,2096
428,2087
429,2099
430,2073
431,2098
432,2091
433,2088
434,2096
435,2093
436,2090
437,2093
438,2083
439,2100
440,2092
441,2075
442,2081
443,2070
444,2088
445,2088
446,2070
447,2095
448,2085
449,2095
450,2098
451,2090
452,2083
453,2091
454,2097
455,2092
456,2089
457,2096
458,2092
459,2102
460,2099
461,2099
462,2092
463,2095
464,2088
465,2094
466,2096
467,2089
468,2091
469,2080
470,2101
471,2089
472,2078
473,2086
474,2087
475,2089
476,2090
477,2121
478,2088
479,2086
480,2094
481,2105
482,2082
483,2085
484,2102
485,2091
486,2088
487,2100
488,2086
489,2094
490,2109
491,2104
492,2070
493,2079
494,2106
495,2100
496,2080
497,2087
498,2098
499,2096
500,2094
501,2100
502,2064
503,2081
504,2091
505,2093
506,2090
507,2075
508,2096
509,2068
510,2088
511,2082
