distance_mm,raw_adc
0.5,2196
0.525,2197
0.55,2198
0.575,2200
0.6,2202
0.625,2202
0.65,2204
0.675,2204
0.7,2206
0.725,2208
0.75,2210
0.775,2212
0.8,2213
0.825,2215
0.85,2216
0.875,2218
0.9,2218
0.925,2222
0.95,2223
0.975,2224
1,2226
1.025,2228
1.05,2229
1.075,2231
1.1,2233
1.125,2234
1.15,2236
1.175,2239
1.2,2243
1.225,2242
1.25,2244
1.275,2246
1.3,2249
1.325,2251
1.35,2254
1.375,2254
1.4,2257
1.425,2260
1.45,2262
1.475,2263
1.5,2267
1.525,2270
1.55,2272
1.575,2274
1.6,2276
1.625,2278
1.65,2281
1.675,2284
1.7,2286
1.725,2288
1.75,2291
1.775,2293
1.8,2297
1.825,2299
1.85,2303
1.875,2305
1.9,2309
1.925,2311
1.95,2314
1.975,2317
2,2321
2.025,2324
2.05,2327
2.075,2330
2.1,2333
2.125,2336
2.15,2340
2.175,2343
2.2,2347
2.225,2351
2.25,2353
2.275,2357
2.3,2359
2.325,2364
2.35,2370
2.375,2372
2.4,2375
2.425,2379
2.45,2384
2.475,2389
2.5,2393
2.525,2398
2.55,2400
2.575,2406
2.6,2410
2.625,2415
2.65,2419
2.675,2425
2.7,2430
2.725,2433
2.75,2438
2.775,2443
2.8,2448
2.825,2451
2.85,2452
2.875,2460
2.9,2462
2.925,2469
2.95,2473
2.975,2478
3,2484
3.025,2491
3.05,2495
3.075,2505
3.1,2510
3.125,2517
3.15,2523
3.175,2529
3.2,2537
3.225,2538
3.25,2550
3.275,2557
3.3,2560
3.325,2567
3.35,2579
3.375,2584
3.4,2590
3.425,2600
3.45,2610
3.475,2614
3.5,2625
3.525,2637
3.55,2646
3.575,2656
3.6,2664
3.625,2672
3.65,2676
3.675,2686
3.7,2700
3.725,2706
3.75,2716
3.775,2735
3.8,2737
3.825,2748
3.85,2758
3.875,2769
3.9,2783
3.925,2796
3.95,2805
