distance_mm,raw_adc
0.000,2196
0.025,2197
0.050,2198
0.075,2200
0.100,2202
0.125,2202
0.150,2204
0.175,2204
0.200,2206
0.225,2208
0.250,2210
0.275,2212
0.300,2213
0.325,2215
0.350,2216
0.375,2218
0.400,2218
0.425,2222
0.450,2223
0.475,2224
0.500,2226
0.525,2228
0.550,2229
0.575,2231
0.600,2233
0.625,2234
0.650,2236
0.675,2239
0.700,2243
0.725,2242
0.750,2244
0.775,2246
0.800,2249
0.825,2251
0.850,2254
0.875,2254
0.900,2257
0.925,2260
0.950,2262
0.975,2263
1.000,2267
1.025,2270
1.050,2272
1.075,2274
1.100,2276
1.125,2278
1.150,2281
1.175,2284
1.200,2286
1.225,2288
1.250,2291
1.275,2293
1.300,2297
1.325,2299
1.350,2303
1.375,2305
1.400,2309
1.425,2311
1.450,2314
1.475,2317
1.500,2321
1.525,2324
1.550,2327
1.575,2330
1.600,2333
1.625,2336
1.650,2340
1.675,2343
1.700,2347
1.725,2351
1.750,2353
1.775,2357
1.800,2359
1.825,2364
1.850,2370
1.875,2372
1.900,2375
1.925,2379
1.950,2384
1.975,2389
2.000,2393
2.025,2398
2.050,2400
2.075,2406
2.100,2410
2.125,2415
2.150,2419
2.175,2425
2.200,2430
2.225,2433
2.250,2438
2.275,2443
2.300,2448
2.325,2451
2.350,2452
2.375,2460
2.400,2462
2.425,2469
2.450,2473
2.475,2478
2.500,2484
2.525,2491
2.550,2495
2.575,2505
2.600,2510
2.625,2517
2.650,2523
2.675,2529
2.700,2537
2.725,2538
2.750,2550
2.775,2557
2.800,2560
2.825,2567
2.850,2579
2.875,2584
2.900,2590
2.925,2600
2.950,2610
2.975,2614
3.000,2625
3.025,2637
3.050,2646
3.075,2656
3.100,2664
3.125,2672
3.150,2676
3.175,2686
3.200,2700
3.225,2706
3.250,2716
3.275,2735
3.300,2737
3.325,2748
3.350,2758
3.375,2769
3.400,2783
3.425,2796
3.450,2805
