tension_adc_pts,distance_mm
2184.0,16.79
2184.0,16.68
2191.0,16.65
2187.0,16.61
2191.0,16.54
2197.0,16.5
2199.0,16.44
2201.0,16.39
2205.0,16.36
2207.0,16.3
2210.0,16.24
2213.0,16.21
2213.0,16.18
2218.0,16.11
2224.0,16.04
2232.0,16.08
2227.0,15.98
2230.0,15.94
2231.5,15.9
2236.0,15.86
2241.0,15.8
2242.0,15.76
2249.0,15.69
2259.0,15.64
2262.5,15.57
2270.0,15.5
2274.0,15.4
2285.0,15.31
2301.0,15.18
2309.0,15.09
2324.0,14.98
2335.0,14.92
2347.0,14.82
2366.0,14.7
2378.0,14.61
2398.0,14.5
2414.0,14.4
2434.0,14.3
2438.0,14.32
2465.0,14.17
2487.5,14.1
2512.0,14.0
2547.0,13.87
2585.0,13.75
2636.0,13.6
2678.0,13.49
2722.0,13.39
2767.5,13.31
2815.0,13.2
